,id,date,store_nbr,family,sales,onpromotion
2626670,2626670,2017-01-18,1,BEAUTY,1.0,0
2626671,2626671,2017-01-18,1,BEVERAGES,2746.0,41
2626672,2626672,2017-01-18,1,BOOKS,1.0,0
2628450,2628450,2017-01-19,1,AUTOMOTIVE,2.0,0
2628451,2628451,2017-01-19,1,BABY CARE,0.0,0
2628452,2628452,2017-01-19,1,BEAUTY,1.0,1
2628453,2628453,2017-01-19,1,BEVERAGES,2399.0,40
2628454,2628454,2017-01-19,1,BOOKS,1.0,0
2630232,2630232,2017-01-20,1,AUTOMOTIVE,2.0,0
2630233,2630233,2017-01-20,1,BABY CARE,0.0,0
2630234,2630234,2017-01-20,1,BEAUTY,2.0,1
2630235,2630235,2017-01-20,1,BEVERAGES,1924.0,39
2630236,2630236,2017-01-20,1,BOOKS,0.0,0
2632014,2632014,2017-01-21,1,AUTOMOTIVE,5.0,0
2632015,2632015,2017-01-21,1,BABY CARE,0.0,0
2632016,2632016,2017-01-21,1,BEAUTY,0.0,0
2632017,2632017,2017-01-21,1,BEVERAGES,2963.0,40
2632018,2632018,2017-01-21,1,BOOKS,1.0,0
2633796,2633796,2017-01-22,1,AUTOMOTIVE,3.0,0
2633797,2633797,2017-01-22,1,BABY CARE,0.0,0
2633798,2633798,2017-01-22,1,BEAUTY,1.0,0
2633799,2633799,2017-01-22,1,BEVERAGES,1083.0,32
2633800,2633800,2017-01-22,1,BOOKS,1.0,0
2635578,2635578,2017-01-23,1,AUTOMOTIVE,4.0,0
2635579,2635579,2017-01-23,1,BABY CARE,0.0,0
2635580,2635580,2017-01-23,1,BEAUTY,9.0,2
2635581,2635581,2017-01-23,1,BEVERAGES,3075.0,39
2635582,2635582,2017-01-23,1,BOOKS,1.0,0
2637360,2637360,2017-01-24,1,AUTOMOTIVE,7.0,0
2637361,2637361,2017-01-24,1,BABY CARE,0.0,0
2637362,2637362,2017-01-24,1,BEAUTY,1.0,0
2637363,2637363,2017-01-24,1,BEVERAGES,2499.0,40
2637364,2637364,2017-01-24,1,BOOKS,0.0,0
2639142,2639142,2017-01-25,1,AUTOMOTIVE,6.0,0
2639143,2639143,2017-01-25,1,BABY CARE,0.0,0
2639144,2639144,2017-01-25,1,BEAUTY,5.0,1
2639145,2639145,2017-01-25,1,BEVERAGES,2498.0,44
2639146,2639146,2017-01-25,1,BOOKS,3.0,0
2640924,2640924,2017-01-26,1,AUTOMOTIVE,12.0,0
2640925,2640925,2017-01-26,1,BABY CARE,0.0,0
2640926,2640926,2017-01-26,1,BEAUTY,3.0,0
2640927,2640927,2017-01-26,1,BEVERAGES,1829.0,26
2640928,2640928,2017-01-26,1,BOOKS,0.0,0
2642706,2642706,2017-01-27,1,AUTOMOTIVE,2.0,0
2642707,2642707,2017-01-27,1,BABY CARE,0.0,0
2642708,2642708,2017-01-27,1,BEAUTY,2.0,1
2642709,2642709,2017-01-27,1,BEVERAGES,2301.0,32
2642710,2642710,2017-01-27,1,BOOKS,1.0,0
2644488,2644488,2017-01-28,1,AUTOMOTIVE,6.0,0
2644489,2644489,2017-01-28,1,BABY CARE,0.0,0
2644490,2644490,2017-01-28,1,BEAUTY,2.0,0
2644491,2644491,2017-01-28,1,BEVERAGES,2662.0,30
2644492,2644492,2017-01-28,1,BOOKS,0.0,0
2646270,2646270,2017-01-29,1,AUTOMOTIVE,0.0,0
2646271,2646271,2017-01-29,1,BABY CARE,0.0,0
2646272,2646272,2017-01-29,1,BEAUTY,3.0,1
2646273,2646273,2017-01-29,1,BEVERAGES,1059.0,16
2646274,2646274,2017-01-29,1,BOOKS,0.0,0
2648052,2648052,2017-01-30,1,AUTOMOTIVE,3.0,0
2648053,2648053,2017-01-30,1,BABY CARE,0.0,0
2648054,2648054,2017-01-30,1,BEAUTY,7.0,1
2648055,2648055,2017-01-30,1,BEVERAGES,1986.0,30
2648056,2648056,2017-01-30,1,BOOKS,0.0,0
2649834,2649834,2017-01-31,1,AUTOMOTIVE,5.0,0
2649835,2649835,2017-01-31,1,BABY CARE,0.0,0
2649836,2649836,2017-01-31,1,BEAUTY,2.0,1
2649837,2649837,2017-01-31,1,BEVERAGES,1965.0,26
2649838,2649838,2017-01-31,1,BOOKS,1.0,0
2651616,2651616,2017-02-01,1,AUTOMOTIVE,7.0,0
2651617,2651617,2017-02-01,1,BABY CARE,0.0,0
2651618,2651618,2017-02-01,1,BEAUTY,7.0,1
2651619,2651619,2017-02-01,1,BEVERAGES,2399.0,28
2651620,2651620,2017-02-01,1,BOOKS,1.0,0
2653398,2653398,2017-02-02,1,AUTOMOTIVE,3.0,0
2653399,2653399,2017-02-02,1,BABY CARE,0.0,0
2653400,2653400,2017-02-02,1,BEAUTY,0.0,0
2653401,2653401,2017-02-02,1,BEVERAGES,2257.0,18
2653402,2653402,2017-02-02,1,BOOKS,0.0,0
2655180,2655180,2017-02-03,1,AUTOMOTIVE,1.0,0
2655181,2655181,2017-02-03,1,BABY CARE,0.0,0
2655182,2655182,2017-02-03,1,BEAUTY,2.0,1
2655183,2655183,2017-02-03,1,BEVERAGES,2236.0,20
2655184,2655184,2017-02-03,1,BOOKS,1.0,0
2656962,2656962,2017-02-04,1,AUTOMOTIVE,4.0,0
2656963,2656963,2017-02-04,1,BABY CARE,0.0,0
2656964,2656964,2017-02-04,1,BEAUTY,7.0,1
2656965,2656965,2017-02-04,1,BEVERAGES,2737.0,24
2656966,2656966,2017-02-04,1,BOOKS,1.0,0
2658744,2658744,2017-02-05,1,AUTOMOTIVE,3.0,0
2658745,2658745,2017-02-05,1,BABY CARE,0.0,0
2658746,2658746,2017-02-05,1,BEAUTY,1.0,0
2658747,2658747,2017-02-05,1,BEVERAGES,1063.0,20
2658748,2658748,2017-02-05,1,BOOKS,1.0,0
2660526,2660526,2017-02-06,1,AUTOMOTIVE,4.0,0
2660527,2660527,2017-02-06,1,BABY CARE,0.0,0
2660528,2660528,2017-02-06,1,BEAUTY,3.0,0
2660529,2660529,2017-02-06,1,BEVERAGES,2238.0,19
2660530,2660530,2017-02-06,1,BOOKS,0.0,0
2662308,2662308,2017-02-07,1,AUTOMOTIVE,2.0,0
2662309,2662309,2017-02-07,1,BABY CARE,0.0,0
2662310,2662310,2017-02-07,1,BEAUTY,2.0,0
2662311,2662311,2017-02-07,1,BEVERAGES,2169.0,23
2662312,2662312,2017-02-07,1,BOOKS,2.0,0
2664090,2664090,2017-02-08,1,AUTOMOTIVE,6.0,0
2664091,2664091,2017-02-08,1,BABY CARE,0.0,0
2664092,2664092,2017-02-08,1,BEAUTY,4.0,0
2664093,2664093,2017-02-08,1,BEVERAGES,2523.0,32
2664094,2664094,2017-02-08,1,BOOKS,2.0,0
2665872,2665872,2017-02-09,1,AUTOMOTIVE,5.0,0
2665873,2665873,2017-02-09,1,BABY CARE,0.0,0
2665874,2665874,2017-02-09,1,BEAUTY,8.0,1
2665875,2665875,2017-02-09,1,BEVERAGES,2112.0,12
2665876,2665876,2017-02-09,1,BOOKS,2.0,0
2667654,2667654,2017-02-10,1,AUTOMOTIVE,3.0,0
2667655,2667655,2017-02-10,1,BABY CARE,0.0,0
2667656,2667656,2017-02-10,1,BEAUTY,1.0,0
2667657,2667657,2017-02-10,1,BEVERAGES,2466.0,11
2667658,2667658,2017-02-10,1,BOOKS,1.0,0
2669436,2669436,2017-02-11,1,AUTOMOTIVE,5.0,0
2669437,2669437,2017-02-11,1,BABY CARE,0.0,0
2669438,2669438,2017-02-11,1,BEAUTY,5.0,0
2669439,2669439,2017-02-11,1,BEVERAGES,2596.0,11
2669440,2669440,2017-02-11,1,BOOKS,0.0,0
2671218,2671218,2017-02-12,1,AUTOMOTIVE,4.0,0
2671219,2671219,2017-02-12,1,BABY CARE,0.0,0
2671220,2671220,2017-02-12,1,BEAUTY,5.0,1
2671221,2671221,2017-02-12,1,BEVERAGES,1147.0,11
2671222,2671222,2017-02-12,1,BOOKS,1.0,0
2673000,2673000,2017-02-13,1,AUTOMOTIVE,3.0,0
2673001,2673001,2017-02-13,1,BABY CARE,0.0,0
2673002,2673002,2017-02-13,1,BEAUTY,5.0,1
2673003,2673003,2017-02-13,1,BEVERAGES,2449.0,16
2673004,2673004,2017-02-13,1,BOOKS,1.0,0
2674782,2674782,2017-02-14,1,AUTOMOTIVE,2.0,0
2674783,2674783,2017-02-14,1,BABY CARE,0.0,0
2674784,2674784,2017-02-14,1,BEAUTY,6.0,0
2674785,2674785,2017-02-14,1,BEVERAGES,2105.0,13
2674786,2674786,2017-02-14,1,BOOKS,0.0,0
2676564,2676564,2017-02-15,1,AUTOMOTIVE,3.0,0
2676565,2676565,2017-02-15,1,BABY CARE,0.0,0
2676566,2676566,2017-02-15,1,BEAUTY,3.0,1
2676567,2676567,2017-02-15,1,BEVERAGES,2141.0,17
2676568,2676568,2017-02-15,1,BOOKS,0.0,0
2678346,2678346,2017-02-16,1,AUTOMOTIVE,3.0,0
2678347,2678347,2017-02-16,1,BABY CARE,0.0,0
2678348,2678348,2017-02-16,1,BEAUTY,0.0,0
2678349,2678349,2017-02-16,1,BEVERAGES,1866.0,13
2678350,2678350,2017-02-16,1,BOOKS,3.0,0
2680128,2680128,2017-02-17,1,AUTOMOTIVE,7.0,0
2680129,2680129,2017-02-17,1,BABY CARE,0.0,0
2680130,2680130,2017-02-17,1,BEAUTY,4.0,1
2680131,2680131,2017-02-17,1,BEVERAGES,2286.0,16
2680132,2680132,2017-02-17,1,BOOKS,1.0,0
2681910,2681910,2017-02-18,1,AUTOMOTIVE,3.0,0
2681911,2681911,2017-02-18,1,BABY CARE,0.0,0
2681912,2681912,2017-02-18,1,BEAUTY,8.0,1
2681913,2681913,2017-02-18,1,BEVERAGES,2906.0,16
2681914,2681914,2017-02-18,1,BOOKS,0.0,0
2683692,2683692,2017-02-19,1,AUTOMOTIVE,0.0,0
2683693,2683693,2017-02-19,1,BABY CARE,0.0,0
2683694,2683694,2017-02-19,1,BEAUTY,1.0,1
2683695,2683695,2017-02-19,1,BEVERAGES,1019.0,16
2683696,2683696,2017-02-19,1,BOOKS,0.0,0
2685474,2685474,2017-02-20,1,AUTOMOTIVE,2.0,0
2685475,2685475,2017-02-20,1,BABY CARE,0.0,0
2685476,2685476,2017-02-20,1,BEAUTY,3.0,1
2685477,2685477,2017-02-20,1,BEVERAGES,2248.0,17
2685478,2685478,2017-02-20,1,BOOKS,0.0,0
2687256,2687256,2017-02-21,1,AUTOMOTIVE,2.0,0
2687257,2687257,2017-02-21,1,BABY CARE,0.0,0
2687258,2687258,2017-02-21,1,BEAUTY,5.0,1
2687259,2687259,2017-02-21,1,BEVERAGES,2419.0,19
2687260,2687260,2017-02-21,1,BOOKS,0.0,0
2689038,2689038,2017-02-22,1,AUTOMOTIVE,4.0,0
2689039,2689039,2017-02-22,1,BABY CARE,0.0,0
2689040,2689040,2017-02-22,1,BEAUTY,3.0,1
2689041,2689041,2017-02-22,1,BEVERAGES,2075.0,17
2689042,2689042,2017-02-22,1,BOOKS,0.0,0
2690820,2690820,2017-02-23,1,AUTOMOTIVE,1.0,0
2690821,2690821,2017-02-23,1,BABY CARE,0.0,0
2690822,2690822,2017-02-23,1,BEAUTY,5.0,1
2690823,2690823,2017-02-23,1,BEVERAGES,1923.0,13
2690824,2690824,2017-02-23,1,BOOKS,0.0,0
2692602,2692602,2017-02-24,1,AUTOMOTIVE,13.0,0
2692603,2692603,2017-02-24,1,BABY CARE,0.0,0
2692604,2692604,2017-02-24,1,BEAUTY,4.0,1
2692605,2692605,2017-02-24,1,BEVERAGES,2508.0,14
2692606,2692606,2017-02-24,1,BOOKS,0.0,0
2694384,2694384,2017-02-25,1,AUTOMOTIVE,2.0,0
2694385,2694385,2017-02-25,1,BABY CARE,0.0,0
2694386,2694386,2017-02-25,1,BEAUTY,2.0,1
2694387,2694387,2017-02-25,1,BEVERAGES,2198.0,15
2694388,2694388,2017-02-25,1,BOOKS,0.0,0
2696166,2696166,2017-02-26,1,AUTOMOTIVE,1.0,0
2696167,2696167,2017-02-26,1,BABY CARE,0.0,0
2696168,2696168,2017-02-26,1,BEAUTY,1.0,0
2696169,2696169,2017-02-26,1,BEVERAGES,690.0,9
2696170,2696170,2017-02-26,1,BOOKS,0.0,0
2697948,2697948,2017-02-27,1,AUTOMOTIVE,3.0,0
2697949,2697949,2017-02-27,1,BABY CARE,0.0,0
2697950,2697950,2017-02-27,1,BEAUTY,0.0,0
2697951,2697951,2017-02-27,1,BEVERAGES,669.0,11
2697952,2697952,2017-02-27,1,BOOKS,0.0,0
2699730,2699730,2017-02-28,1,AUTOMOTIVE,2.0,0
2699731,2699731,2017-02-28,1,BABY CARE,0.0,0
2699732,2699732,2017-02-28,1,BEAUTY,2.0,1
2699733,2699733,2017-02-28,1,BEVERAGES,1059.0,11
2699734,2699734,2017-02-28,1,BOOKS,0.0,0
2701512,2701512,2017-03-01,1,AUTOMOTIVE,1.0,0
2701513,2701513,2017-03-01,1,BABY CARE,0.0,0
2701514,2701514,2017-03-01,1,BEAUTY,3.0,1
2701515,2701515,2017-03-01,1,BEVERAGES,3343.0,25
2701516,2701516,2017-03-01,1,BOOKS,0.0,0
2703294,2703294,2017-03-02,1,AUTOMOTIVE,3.0,0
2703295,2703295,2017-03-02,1,BABY CARE,0.0,0
2703296,2703296,2017-03-02,1,BEAUTY,8.0,1
2703297,2703297,2017-03-02,1,BEVERAGES,2519.0,20
2703298,2703298,2017-03-02,1,BOOKS,0.0,0
2705076,2705076,2017-03-03,1,AUTOMOTIVE,5.0,0
2705077,2705077,2017-03-03,1,BABY CARE,0.0,0
2705078,2705078,2017-03-03,1,BEAUTY,9.0,1
2705079,2705079,2017-03-03,1,BEVERAGES,2536.0,13
2705080,2705080,2017-03-03,1,BOOKS,0.0,0
2706858,2706858,2017-03-04,1,AUTOMOTIVE,6.0,0
2706859,2706859,2017-03-04,1,BABY CARE,0.0,0
2706860,2706860,2017-03-04,1,BEAUTY,5.0,1
2706861,2706861,2017-03-04,1,BEVERAGES,2577.0,18
2706862,2706862,2017-03-04,1,BOOKS,1.0,0
2708640,2708640,2017-03-05,1,AUTOMOTIVE,0.0,0
2708641,2708641,2017-03-05,1,BABY CARE,0.0,0
2708642,2708642,2017-03-05,1,BEAUTY,1.0,0
2708643,2708643,2017-03-05,1,BEVERAGES,1039.0,12
2708644,2708644,2017-03-05,1,BOOKS,0.0,0
2710422,2710422,2017-03-06,1,AUTOMOTIVE,5.0,0
2710423,2710423,2017-03-06,1,BABY CARE,0.0,0
2710424,2710424,2017-03-06,1,BEAUTY,3.0,1
2710425,2710425,2017-03-06,1,BEVERAGES,1898.0,14
2710426,2710426,2017-03-06,1,BOOKS,0.0,0
2712204,2712204,2017-03-07,1,AUTOMOTIVE,3.0,0
2712205,2712205,2017-03-07,1,BABY CARE,0.0,0
2712206,2712206,2017-03-07,1,BEAUTY,3.0,1
2712207,2712207,2017-03-07,1,BEVERAGES,2625.0,9
2712208,2712208,2017-03-07,1,BOOKS,2.0,0
2713986,2713986,2017-03-08,1,AUTOMOTIVE,3.0,0
2713987,2713987,2017-03-08,1,BABY CARE,0.0,0
2713988,2713988,2017-03-08,1,BEAUTY,4.0,1
2713989,2713989,2017-03-08,1,BEVERAGES,2266.0,12
2713990,2713990,2017-03-08,1,BOOKS,0.0,0
2715768,2715768,2017-03-09,1,AUTOMOTIVE,4.0,0
2715769,2715769,2017-03-09,1,BABY CARE,0.0,0
2715770,2715770,2017-03-09,1,BEAUTY,2.0,0
2715771,2715771,2017-03-09,1,BEVERAGES,2084.0,25
2715772,2715772,2017-03-09,1,BOOKS,1.0,0
2717550,2717550,2017-03-10,1,AUTOMOTIVE,3.0,0
2717551,2717551,2017-03-10,1,BABY CARE,0.0,0
2717552,2717552,2017-03-10,1,BEAUTY,2.0,0
2717553,2717553,2017-03-10,1,BEVERAGES,2418.0,29
2717554,2717554,2017-03-10,1,BOOKS,2.0,0
2719332,2719332,2017-03-11,1,AUTOMOTIVE,0.0,0
2719333,2719333,2017-03-11,1,BABY CARE,0.0,0
2719334,2719334,2017-03-11,1,BEAUTY,3.0,0
2719335,2719335,2017-03-11,1,BEVERAGES,2701.0,31
2719336,2719336,2017-03-11,1,BOOKS,2.0,0
2721114,2721114,2017-03-12,1,AUTOMOTIVE,4.0,0
2721115,2721115,2017-03-12,1,BABY CARE,0.0,0
2721116,2721116,2017-03-12,1,BEAUTY,2.0,0
2721117,2721117,2017-03-12,1,BEVERAGES,1338.0,23
2721118,2721118,2017-03-12,1,BOOKS,0.0,0
2722896,2722896,2017-03-13,1,AUTOMOTIVE,3.0,0
2722897,2722897,2017-03-13,1,BABY CARE,0.0,0
2722898,2722898,2017-03-13,1,BEAUTY,0.0,0
2722899,2722899,2017-03-13,1,BEVERAGES,2322.0,29
2722900,2722900,2017-03-13,1,BOOKS,0.0,0
2724678,2724678,2017-03-14,1,AUTOMOTIVE,3.0,0
2724679,2724679,2017-03-14,1,BABY CARE,0.0,0
2724680,2724680,2017-03-14,1,BEAUTY,3.0,0
2724681,2724681,2017-03-14,1,BEVERAGES,2216.0,29
2724682,2724682,2017-03-14,1,BOOKS,1.0,0
2726460,2726460,2017-03-15,1,AUTOMOTIVE,7.0,0
2726461,2726461,2017-03-15,1,BABY CARE,0.0,0
2726462,2726462,2017-03-15,1,BEAUTY,3.0,0
2726463,2726463,2017-03-15,1,BEVERAGES,2648.0,29
2726464,2726464,2017-03-15,1,BOOKS,0.0,0
2728242,2728242,2017-03-16,1,AUTOMOTIVE,4.0,0
2728243,2728243,2017-03-16,1,BABY CARE,0.0,0
2728244,2728244,2017-03-16,1,BEAUTY,3.0,0
2728245,2728245,2017-03-16,1,BEVERAGES,2057.0,28
2728246,2728246,2017-03-16,1,BOOKS,0.0,0
2730024,2730024,2017-03-17,1,AUTOMOTIVE,6.0,0
2730025,2730025,2017-03-17,1,BABY CARE,0.0,0
2730026,2730026,2017-03-17,1,BEAUTY,3.0,0
2730027,2730027,2017-03-17,1,BEVERAGES,2955.0,31
2730028,2730028,2017-03-17,1,BOOKS,0.0,0
2731806,2731806,2017-03-18,1,AUTOMOTIVE,3.0,0
2731807,2731807,2017-03-18,1,BABY CARE,0.0,0
2731808,2731808,2017-03-18,1,BEAUTY,4.0,0
2731809,2731809,2017-03-18,1,BEVERAGES,2502.0,29
2731810,2731810,2017-03-18,1,BOOKS,0.0,0
2733588,2733588,2017-03-19,1,AUTOMOTIVE,1.0,0
2733589,2733589,2017-03-19,1,BABY CARE,0.0,0
2733590,2733590,2017-03-19,1,BEAUTY,2.0,0
2733591,2733591,2017-03-19,1,BEVERAGES,1094.0,22
2733592,2733592,2017-03-19,1,BOOKS,1.0,0
2735370,2735370,2017-03-20,1,AUTOMOTIVE,3.0,0
2735371,2735371,2017-03-20,1,BABY CARE,0.0,0
2735372,2735372,2017-03-20,1,BEAUTY,3.0,0
2735373,2735373,2017-03-20,1,BEVERAGES,2370.0,25
2735374,2735374,2017-03-20,1,BOOKS,0.0,0
2737152,2737152,2017-03-21,1,AUTOMOTIVE,8.0,0
2737153,2737153,2017-03-21,1,BABY CARE,0.0,0
2737154,2737154,2017-03-21,1,BEAUTY,8.0,0
2737155,2737155,2017-03-21,1,BEVERAGES,2873.0,21
2737156,2737156,2017-03-21,1,BOOKS,0.0,0
2738934,2738934,2017-03-22,1,AUTOMOTIVE,3.0,0
2738935,2738935,2017-03-22,1,BABY CARE,0.0,0
2738936,2738936,2017-03-22,1,BEAUTY,2.0,0
2738937,2738937,2017-03-22,1,BEVERAGES,2658.0,24
2738938,2738938,2017-03-22,1,BOOKS,1.0,0
2740716,2740716,2017-03-23,1,AUTOMOTIVE,3.0,0
2740717,2740717,2017-03-23,1,BABY CARE,0.0,0
2740718,2740718,2017-03-23,1,BEAUTY,2.0,0
2740719,2740719,2017-03-23,1,BEVERAGES,2333.0,20
2740720,2740720,2017-03-23,1,BOOKS,0.0,0
2742498,2742498,2017-03-24,1,AUTOMOTIVE,7.0,0
2742499,2742499,2017-03-24,1,BABY CARE,0.0,0
2742500,2742500,2017-03-24,1,BEAUTY,2.0,0
2742501,2742501,2017-03-24,1,BEVERAGES,2745.0,19
2742502,2742502,2017-03-24,1,BOOKS,1.0,0
2744280,2744280,2017-03-25,1,AUTOMOTIVE,5.0,0
2744281,2744281,2017-03-25,1,BABY CARE,0.0,0
2744282,2744282,2017-03-25,1,BEAUTY,4.0,0
2744283,2744283,2017-03-25,1,BEVERAGES,2356.0,21
2744284,2744284,2017-03-25,1,BOOKS,0.0,0
2746062,2746062,2017-03-26,1,AUTOMOTIVE,5.0,0
2746063,2746063,2017-03-26,1,BABY CARE,0.0,0
2746064,2746064,2017-03-26,1,BEAUTY,0.0,0
2746065,2746065,2017-03-26,1,BEVERAGES,1110.0,16
2746066,2746066,2017-03-26,1,BOOKS,0.0,0
2747844,2747844,2017-03-27,1,AUTOMOTIVE,6.0,0
2747845,2747845,2017-03-27,1,BABY CARE,0.0,0
2747846,2747846,2017-03-27,1,BEAUTY,0.0,0
2747847,2747847,2017-03-27,1,BEVERAGES,2388.0,21
2747848,2747848,2017-03-27,1,BOOKS,1.0,0
2749626,2749626,2017-03-28,1,AUTOMOTIVE,4.0,0
2749627,2749627,2017-03-28,1,BABY CARE,0.0,0
2749628,2749628,2017-03-28,1,BEAUTY,1.0,0
2749629,2749629,2017-03-28,1,BEVERAGES,2184.0,17
2749630,2749630,2017-03-28,1,BOOKS,0.0,0
2751408,2751408,2017-03-29,1,AUTOMOTIVE,2.0,0
2751409,2751409,2017-03-29,1,BABY CARE,0.0,0
2751410,2751410,2017-03-29,1,BEAUTY,3.0,0
2751411,2751411,2017-03-29,1,BEVERAGES,2450.0,23
2751412,2751412,2017-03-29,1,BOOKS,1.0,0
2753190,2753190,2017-03-30,1,AUTOMOTIVE,3.0,0
2753191,2753191,2017-03-30,1,BABY CARE,0.0,0
2753192,2753192,2017-03-30,1,BEAUTY,2.0,0
2753193,2753193,2017-03-30,1,BEVERAGES,1971.0,3
2753194,2753194,2017-03-30,1,BOOKS,0.0,0
2754972,2754972,2017-03-31,1,AUTOMOTIVE,5.0,0
2754973,2754973,2017-03-31,1,BABY CARE,0.0,0
2754974,2754974,2017-03-31,1,BEAUTY,7.0,1
2754975,2754975,2017-03-31,1,BEVERAGES,2351.0,7
2754976,2754976,2017-03-31,1,BOOKS,1.0,0
